wind_onshore,pv,load
0.936,0,0.06399452055
0.933,0,0.06023013699
0.930,0,0.05834794521
0.926,0,0.05740684932
0.909,0,0.0592890411
0.883,0,0.06587671233
0.881,0.024,0.06964109589
0.899,0.135,0.07434657534
0.902,0.286,0.07622876712
0.894,0.421,0.07905205479
0.884,0.500,0.08469863014
0.877,0.508,0.08658082192
0.874,0.512,0.08658082192
0.863,0.473,0.08752191781
0.850,0.379,0.08469863014
0.844,0.229,0.08281643836
0.859,0.077,0.08281643836
0.876,0,0.08469863014
0.895,0,0.09881506849
0.917,0,0.1035205479
0.921,0,0.09881506849
0.917,0,0.09222739726
0.909,0,0.07716986301
0.899,0,0.06681780822
0.894,0,0.06399452055
0.898,0,0.06023013699
0.913,0,0.05834794521
0.926,0,0.05740684932
0.926,0,0.0592890411
0.921,0,0.06587671233
0.914,0.034,0.06964109589
0.917,0.188,0.07434657534
0.910,0.333,0.07622876712
0.901,0.420,0.07905205479
0.888,0.477,0.08469863014
0.872,0.473,0.08658082192
0.863,0.434,0.08658082192
0.868,0.372,0.08752191781
0.884,0.301,0.08469863014
0.906,0.183,0.08281643836
0.923,0.066,0.08281643836
0.926,0,0.08469863014
0.933,0,0.09881506849
0.943,0,0.1035205479
0.947,0,0.09881506849
0.947,0,0.09222739726
0.954,0,0.07716986301
0.956,0,0.06681780822
0.958,0,0.06399452055
0.947,0,0.06023013699
0.941,0,0.05834794521
0.928,0,0.05740684932
0.899,0,0.0592890411
0.868,0,0.06587671233
0.842,0.013,0.06964109589
0.859,0.096,0.07434657534
0.881,0.193,0.07622876712
0.888,0.292,0.07905205479
0.891,0.357,0.08469863014
0.895,0.400,0.08658082192
0.895,0.411,0.08658082192
0.896,0.403,0.08752191781
0.899,0.338,0.08469863014
0.898,0.220,0.08281643836
0.904,0.086,0.08281643836
0.914,0.001,0.08469863014
0.932,0,0.09881506849
0.951,0,0.1035205479
0.959,0,0.09881506849
0.959,0,0.09222739726
0.950,0,0.07716986301
0.938,0,0.06681780822
0.927,0,0.06399452055
0.920,0,0.06023013699
0.920,0,0.05834794521
0.926,0,0.05740684932
0.932,0,0.0592890411
0.939,0,0.06587671233
0.951,0.018,0.06964109589
0.962,0.117,0.07434657534
0.965,0.242,0.07622876712
0.964,0.357,0.07905205479
0.962,0.413,0.08469863014
0.960,0.441,0.08658082192
0.958,0.407,0.08658082192
0.955,0.321,0.08752191781
0.950,0.242,0.08469863014
0.945,0.145,0.08281643836
0.944,0.054,0.08281643836
0.938,0,0.08469863014
0.938,0,0.09881506849
0.945,0,0.1035205479
0.946,0,0.09881506849
0.942,0,0.09222739726
0.943,0,0.07716986301
0.945,0,0.06681780822
0.946,0,0.06399452055
0.947,0,0.06023013699
0.947,0,0.05834794521
0.943,0,0.05740684932
0.924,0,0.0592890411
0.893,0,0.06587671233
0.868,0.030,0.06964109589
0.878,0.179,0.07434657534
0.896,0.370,0.07622876712
0.901,0.522,0.07905205479
0.896,0.651,0.08469863014
0.890,0.708,0.08658082192
0.890,0.710,0.08658082192
0.896,0.648,0.08752191781
0.910,0.542,0.08469863014
0.923,0.381,0.08281643836
0.931,0.167,0.08281643836
0.941,0.003,0.08469863014
0.958,0,0.09881506849
0.970,0,0.1035205479
0.971,0,0.09881506849
0.970,0,0.09222739726
0.966,0,0.07716986301
0.965,0,0.06681780822
0.960,0,0.06399452055
0.952,0,0.06023013699
0.948,0,0.05834794521
0.943,0,0.05740684932
0.926,0,0.0592890411
0.910,0,0.06587671233
0.902,0.041,0.06964109589
0.912,0.220,0.07434657534
0.920,0.427,0.07622876712
0.916,0.566,0.07905205479
0.891,0.671,0.08469863014
0.865,0.714,0.08658082192
0.852,0.697,0.08658082192
0.858,0.628,0.08752191781
0.875,0.509,0.08469863014
0.876,0.340,0.08281643836
0.889,0.138,0.08281643836
0.906,0.002,0.08469863014
0.926,0,0.09881506849
0.939,0,0.1035205479
0.943,0,0.09881506849
0.941,0,0.09222739726
0.929,0,0.07716986301
0.921,0,0.06681780822
0.902,0,0.06399452055
0.880,0,0.06023013699
0.866,0,0.05834794521
0.851,0,0.05740684932
0.832,0,0.0592890411
0.811,0,0.06587671233
0.799,0.059,0.06964109589
0.831,0.291,0.07434657534
0.846,0.481,0.07622876712
0.847,0.634,0.07905205479
0.842,0.719,0.08469863014
0.836,0.754,0.08658082192
0.834,0.732,0.08658082192
0.844,0.645,0.08752191781
0.861,0.493,0.08469863014
0.879,0.295,0.08281643836
0.886,0.112,0.08281643836
0.885,0.002,0.08469863014
0.891,0,0.09881506849
0.913,0,0.1035205479
0.914,0,0.09881506849
0.907,0,0.09222739726
0.897,0,0.07716986301
0.891,0,0.06681780822
0.879,0,0.06399452055
0.861,0,0.06023013699
0.858,0,0.05834794521
0.854,0,0.05740684932
0.850,0,0.0592890411
0.843,0,0.06587671233
0.834,0.055,0.06964109589
0.859,0.281,0.07434657534
0.880,0.486,0.07622876712
0.889,0.637,0.07905205479
0.886,0.724,0.08469863014
0.885,0.760,0.08658082192
0.886,0.751,0.08658082192
0.887,0.698,0.08752191781
0.892,0.592,0.08469863014
0.895,0.428,0.08281643836
0.896,0.200,0.08281643836
0.876,0.004,0.08469863014
0.871,0,0.09881506849
0.889,0,0.1035205479
0.890,0,0.09881506849
0.882,0,0.09222739726
